"transaction_id","procedure_id","trans_group_id","trans_group_ar","trans_group_en","procedure_name_ar","procedure_name_en","instance_date","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","property_usage_ar","property_usage_en","reg_type_id","reg_type_ar","reg_type_en","area_id","area_name_ar","area_name_en","building_name_ar","building_name_en","project_number","project_name_ar","project_name_en","master_project_en","master_project_ar","nearest_landmark_ar","nearest_landmark_en","nearest_metro_ar","nearest_metro_en","nearest_mall_ar","nearest_mall_en","rooms_ar","rooms_en","has_parking","procedure_area","actual_worth","meter_sale_price","rent_value","meter_rent_price","no_of_parties_role_1","no_of_parties_role_2","no_of_parties_role_3"
"2-13-2013-5640","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","13-08-2013","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","442","البرشاء جنوب الخامسة","Al Barsha South Fifth","","",null,"","","Jumeirah Village Triangle","قرية جميرا المثلثة","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","","","0","739.80","2465000","3331.98",null,null,"2","1","0"
"2-810-2014-181","810","2","رهون","Mortgages","تسجيل اجارة تمويلية","Lease Finance Registration","07-08-2014","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","390","برج خليفة","Burj Khalifa","برج النجوم","Al NOUJOUM TOWER","567","النجوم برج","BURJ AL NUJOOM","Burj Khalifa","برج خليفة","وسط مدينة دبي","Downtown Dubai","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","76.11","814245","10698.27",null,null,"1","1","0"
"1-102-2004-123","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","22-01-2009","3","وحدة","Unit","69","ورشة","Workshop","صناعي","Industrial","0","على الخارطة","Off-Plan Properties","445","جبل علي الأولى","Jabal Ali First","جاي اند جي مبنى 2","J & G  BUILDING 2","1448","ج أند جي بليكس","J&G PLEXS","DMCC-EZ2","مركز دبي للسلع المتعددة - المرحلة الثانية","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","برج هاربور","Harbour Tower","مارينا مول","Marina Mall","","","1","50.00","181912","3638.24",null,null,"1","1","0"
"1-102-2007-11726","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","27-07-2009","3","وحدة","Unit","42","مكتب","Office","تجاري","Commercial","0","على الخارطة","Off-Plan Properties","526","الخليج التجارى","Business Bay","الميتروبوليس","THE METROPOLIS","44","ميرتوبوليس","THE MERTOPOLIS","Business Bay","الخليج التجاري","وسط مدينة دبي","Downtown Dubai","محطة مترو الخليج التجاري","Business Bay Metro Station","مول دبي","Dubai Mall","مكتب","Office","1","82.41","1031902","12521.56",null,null,"1","1","0"
"1-102-2012-4944","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","21-11-2012","3","وحدة","Unit","101","شقة فندقية","Hotel Apartment","ضيافة","Hospitality ","0","على الخارطة","Off-Plan Properties","390","برج خليفة","Burj Khalifa","The Address - The BLVD","The Address - The BLVD","1328","العنوان - بوليفارد","THE ADDRESS - THE BLVD","Burj Khalifa","برج خليفة","برج خليفة","Burj Khalifa","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","84.08","1797888","21383.06",null,null,"1","1","0"
"2-13-2018-4943","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","13-06-2018","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","330","مرسى دبي","Marsa Dubai","برج سلفرين ايه","Silverene Towers A","129","سلفرين","SILVERENE","Dubai Marina","دبي مارينا","برج العرب","Burj Al Arab","أبراج بحيرات جميرا","Jumeirah Lakes Towers","مارينا مول","Marina Mall","غرفتين","2 B/R","1","98.24","1850000","18831.43",null,null,"1","1","0"
"2-110-2020-184","110","2","رهون","Mortgages","تسجيل إيجارة تنتهى بالتملك","Lease to Own Registration","27-08-2020","4","فيلا","Villa",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","352","الثنيه الرابعة","Al Thanayah Fourth","","",null,"","","Emirates Hills","تلال الامارات","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","","","0","1976.68","10000000","5058.99","10000000","5059","2","2","4"
"1-110-2021-325","110","1","مبايعات","Sales","تسجيل إيجارة تنتهى بالتملك","Lease to Own Registration","29-09-2021","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","444","الحبيه الاولى","Al Hebiah First","","","1853","كازا فلوريس و ايدن ابارتمنتس","CASA FLORES AND EDEN APARTMENTS","Motor City","موتور ستي","موتور سيتي","Motor City","مدينة دبي للإنترنت","Dubai Internet City","مول الإمارات","Mall of the Emirates","ثلاث غرف","3 B/R","0","239.65","2305200","9619.03",null,null,"2","2","2"
"1-11-2023-21878","11","1","مبايعات","Sales","بيع","Sell","12-07-2023","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","441","البرشاء جنوب الرابعة","Al Barsha South Fourth","","","962","مناطق شمال 2","SHAMAL TERRACES 2","Jumeirah Village Circle","قرية جميرا الدائرية","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","ثلاث غرف","3 B/R","0","217.05","2100000","9675.19",null,null,"1","1","0"
"1-11-2012-16123","11","1","مبايعات","Sales","بيع","Sell","10-09-2012","3","وحدة","Unit","42","مكتب","Office","تجاري","Commercial","1","العقارات القائمة","Existing Properties","350","الثنيه الخامسة","Al Thanyah Fifth","انديجو ايكون","Indigo Icon","155","امجو أيكون","INIGO ICON","Jumeirah Lakes Towers"," ابراج بحيرات الجميرا","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو مارينا مول","Marina Mall Metro Station","مارينا مول","Marina Mall","مكتب","Office","1","159.13","1660220","10433.11",null,null,"1","2","0"
"1-11-2016-4338","11","1","مبايعات","Sales","بيع","Sell","13-04-2016","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","526","الخليج التجارى","Business Bay","ايست هايتس 1","EAST HEIGHTS 1",null,"","","Business Bay","الخليج التجاري","برج خليفة","Burj Khalifa","محطة مترو الخليج التجاري","Business Bay Metro Station","مول دبي","Dubai Mall","أربع غرف","4 B/R","1","428.19","5237100","12230.79",null,null,"1","1","0"
"1-102-2019-1659","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","04-02-2019","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","0","على الخارطة","Off-Plan Properties","462","مدينة المطار","Madinat Al Mataar","","","2102","بارك سايد","Parkside","Dubai World Central","دبي ورلد سنترال","مطار آل مكتوم الدولي","Al Makhtoum International Airport","","","","","ثلاث غرف","3 B/R","0","153.67","1072888","6981.77",null,null,"1","1","0"
"1-11-2019-10275","11","1","مبايعات","Sales","بيع","Sell","11-11-2019","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","330","مرسى دبي","Marsa Dubai","السيف 1","AL SEEF 1","42","السيف I","ALSEEF I","Dubai Marina","دبي مارينا","برج العرب","Burj Al Arab","مينا السياحي","Mina Seyahi","مارينا مول","Marina Mall","ثلاث غرف","3 B/R","1","165.08","1250000","7572.09",null,null,"1","1","0"
"1-11-2020-4754","11","1","مبايعات","Sales","بيع","Sell","29-06-2020","4","فيلا","Villa",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","230","ابو هيل","Abu Hail","","",null,"","","","","مطار دبي الدولي","Dubai International Airport","محطة مترو أبو بكر الصديق","Abu Baker Al Siddique Metro Station","","","","","0","222.97","1200000","5381.89",null,null,"1","1","0"
"1-41-2021-3130","41","1","مبايعات","Sales","بيع مبدئى","Delayed Sell","29-03-2021","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","482","حدائق الشيخ محمد بن راشد","Hadaeq Sheikh Mohammed Bin Rashid","","","1992"," كلوب فيلاز في دبي هيلز","Club Villas at Dubai Hills","DUBAI HILLS - CLUB VILLAS","دبي هيليز - كلوب فيلاز","آي إم جي وورلد أدفينتشرز","IMG World Adventures","محطة مترو نور بنك","Noor Bank Metro Station","مول الإمارات","Mall of the Emirates","ثلاث غرف","3 B/R","0","310.46","4104931","13222.09",null,null,"1","1","0"
"2-13-2020-10139","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","15-12-2020","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","435","الحبيه الرابعة","Al Hebiah Fourth","هيوب كانال 2","Hub Canal 2","1302","هب كانال 2 برج","HUB CANAL 2 TOWER","Dubai Sports City","مدينة دبي الرياضية","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","غرفة","1 B/R","1","95.11","280000","2943.96",null,null,"1","1","0"
"1-102-2021-15074","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","06-09-2021","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","350","الثنيه الخامسة","Al Thanyah Fifth","سفن سيتي جي ال تي","Seven City JLT","2065","سفن سيتي جي إل تي","SEVEN CITY JLT","Jumeirah Islands","جزر جميرا","برج العرب","Burj Al Arab","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","غرفة","1 B/R","1","71.98","759949","10557.78",null,null,"1","1","0"
"1-11-2023-14599","11","1","مبايعات","Sales","بيع","Sell","15-05-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","390","برج خليفة","Burj Khalifa","دنيا تاور","Dunya Tower",null,"","","Burj Khalifa","برج خليفة","وسط مدينة دبي","Downtown Dubai","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","89.61","1495000","16683.41",null,null,"1","1","0"
"1-102-2023-26173","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","02-06-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","370","ام سقيم الثالثه","Um Suqaim Third","جومانا 7","Jomana 7","2582","جومانه","Jomana","","","","","","","","","غرفة","1 B/R","1","82.24","2528000","30739.30",null,null,"1","1","0"
"1-102-2023-34088","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","18-07-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","350","الثنيه الخامسة","Al Thanyah Fifth","فيوز 2 من دانوب","Viewz 2 By Danube","2560","فيوز2 من دانوب ","Viewz 2 By Danube","Jumeirah Lakes Towers"," ابراج بحيرات الجميرا","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","أبراج بحيرات جميرا","Jumeirah Lakes Towers","مارينا مول","Marina Mall","غرفتين","2 B/R","1","106.99","2338000","21852.51",null,null,"1","1","0"
"1-11-2008-209584","11","1","مبايعات","Sales","بيع","Sell","18-11-2008","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","343","ورسان الاولى","Al Warsan First","رويال ريزيدنسس","ROYAL RESIDENCES",null,"","","International City Phase 1","المدينة العالمية - المرحلة الاولى","","","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","غرفة","1 B/R","1","74.60","477000","6394.10",null,null,"1","2","0"
"1-41-2011-610","41","1","مبايعات","Sales","بيع مبدئى","Delayed Sell","08-02-2011","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","444","الحبيه الاولى","Al Hebiah First","ويدكومب هاوس 2","WIDCOMBE HOUSE 2",null,"","","Motor City","موتور ستي","موتور سيتي","Motor City","محطة مترو شرف دي جي","Sharaf Dg Metro Station","مول الإمارات","Mall of the Emirates","غرفتين","2 B/R","1","134.90","726000","5381.76",null,null,"1","1","0"
"1-11-2004-639","11","1","مبايعات","Sales","بيع","Sell","30-03-2004","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","300","الراشديه","Al Rashidiya","","",null,"","","","","مطار دبي الدولي","Dubai International Airport","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","","","0","577.39","1580000","2736.45",null,null,"1","1","0"
"2-13-1998-109","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","16-12-1998","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","278","منخول","Mankhool","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","4830.96","10000000","2069.98",null,null,"1","1","0"
"1-11-2007-3831","11","1","مبايعات","Sales","بيع","Sell","17-12-2007","4","فيلا","Villa",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","410","نخلة جميرا","Palm Jumeirah","","",null,"","","Palm Jumeirah","نخلة جميرا","برج العرب","Burj Al Arab","مينا السياحي","Mina Seyahi","مارينا مول","Marina Mall","","","0","622.45","2600000","4177.04",null,null,"1","1","0"
"1-11-2008-1652","11","1","مبايعات","Sales","بيع","Sell","07-04-2008","4","فيلا","Villa",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","410","نخلة جميرا","Palm Jumeirah","","",null,"","","Palm Jumeirah","نخلة جميرا","برج العرب","Burj Al Arab","الصفوح","Al Sufouh","مول الإمارات","Mall of the Emirates","","","0","1244.71","4650000","3735.81",null,null,"1","1","0"
"2-110-2010-1075","110","2","رهون","Mortgages","تسجيل إيجارة تنتهى بالتملك","Lease to Own Registration","24-05-2010","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","352","الثنيه الرابعة","Al Thanayah Fourth","","",null,"","","Springs - 2","الينابيع - 2","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","ثلاث غرف","3 B/R","0","254.94","1200000","4706.99","1200000","4707","2","2","2"
"1-11-2012-15140","11","1","مبايعات","Sales","بيع","Sell","16-08-2012","3","وحدة","Unit","42","مكتب","Office","تجاري","Commercial","1","العقارات القائمة","Existing Properties","526","الخليج التجارى","Business Bay","إكسيل تاور","XL Tower","416","أكس أل تاور","XL TOWER","Business Bay","الخليج التجاري","وسط مدينة دبي","Downtown Dubai","محطة مترو الخليج التجاري","Business Bay Metro Station","مول دبي","Dubai Mall","مكتب","Office","1","78.97","488750","6189.06",null,null,"1","1","0"
"2-39-2013-59","39","2","رهون","Mortgages","رهن حق منفعة","Development Mortgage","15-04-2013","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","458","مجمع دبي للاستثمار الاول","Dubai Investment Park First","","",null,"","","Dubai Investment Park First","مجمع دبي للاستثمار الاول","موقع إكسبو 2020","Expo 2020 Site","محطة مترو الدانوب","DANUBE Metro Station","ابن بطوطة مول","Ibn-e-Battuta Mall","أربع غرف","4 B/R","0","995.84","2175000","2184.09",null,null,"1","0","1"
"1-11-2013-24600","11","1","مبايعات","Sales","بيع","Sell","19-08-2013","3","وحدة","Unit","42","مكتب","Office","تجاري","Commercial","1","العقارات القائمة","Existing Properties","350","الثنيه الخامسة","Al Thanyah Fifth","ذى  دوم","The Dome","351","ذا دوم تاور","THE DOME TOWER","Jumeirah Lakes Towers"," ابراج بحيرات الجميرا","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","أبراج بحيرات جميرا","Jumeirah Lakes Towers","مارينا مول","Marina Mall","مكتب","Office","1","206.18","1582000","7672.91",null,null,"1","1","0"
"1-11-2013-38053","11","1","مبايعات","Sales","بيع","Sell","09-12-2013","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","434","وادي الصفا 6","Wadi Al Safa 6","","",null,"","","Arabian Ranches - Al Reem 3","المرابع العربية - الريم 3","قرية عالمية","Global Village","","","","","أربع غرف","4 B/R","0","577.66","3213000","5562.10",null,null,"1","1","0"
"1-11-2014-13363","11","1","مبايعات","Sales","بيع","Sell","19-05-2014","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","435","الحبيه الرابعة","Al Hebiah Fourth","ايلايت 5 سبورت ريزيدانس","Elite 5 Sports Residence","334","إيليت 5 سبورتس ريزيدنس","ELITE 5 SPORTS RESIDENCE","Dubai Sports City","مدينة دبي الرياضية","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","مدينة دبي للإنترنت","Dubai Internet City","مارينا مول","Marina Mall","استوديو","Studio","1","41.19","375000","9104.15",null,null,"1","2","0"
"1-11-2014-11802","11","1","مبايعات","Sales","بيع","Sell","30-04-2014","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","330","مرسى دبي","Marsa Dubai","الرمال 3","Rimal 3",null,"","","Jumeriah Beach Residence  - JBR","جميرا بيتش ريزيدنس  - الجيه بي آر ","برج العرب","Burj Al Arab","مساكن شاطئ جميرا","Jumeirah Beach Residency","مارينا مول","Marina Mall","غرفتين","2 B/R","1","205.32","3700000","18020.65",null,null,"2","2","0"
"1-41-2015-4032","41","1","مبايعات","Sales","بيع مبدئى","Delayed Sell","07-07-2015","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","412","المركاض","Al Merkadh","","","1496","محمد بن راشد ال مكتوم ستي ديسترك ون فيس 2 فلل","MOHAMMED BIN RASHID AL MAKTOUM CITY-DISTRICT ONE PHASE II VILLAS","","","وسط مدينة دبي","Downtown Dubai","محطة مترو الخليج التجاري","Business Bay Metro Station","مول دبي","Dubai Mall","","","0","728.31","12921300","17741.48",null,null,"1","1","0"
"1-11-2018-5741","11","1","مبايعات","Sales","بيع","Sell","31-05-2018","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","351","الثنيه الثالثة","Al Thanyah Third","فيروايز ايست تاور","The Fairways East Tower",null,"","","The Greens","الروضة","برج العرب","Burj Al Arab","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","غرفتين","2 B/R","1","130.44","2050000","15716.04",null,null,"1","1","0"
"1-11-2019-8076","11","1","مبايعات","Sales","بيع","Sell","09-09-2019","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","343","ورسان الاولى","Al Warsan First","اي سي1 اماراتي 24","IC1-EMR-24","1288","المدينة العالمية الإماراتية","INTERNATIONAL CITY EMARATI","International City Phase 1","المدينة العالمية - المرحلة الاولى","","","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","استوديو","Studio","0","45.65","288000","6308.87",null,null,"1","1","0"
"1-11-2022-3004","11","1","مبايعات","Sales","بيع","Sell","17-02-2022","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","435","الحبيه الرابعة","Al Hebiah Fourth","برج حمزة","HAMZA TOWER","622","برج حمزة","HAMZA TOWER","Dubai Sports City","مدينة دبي الرياضية","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","غرفتين","2 B/R","1","107.74","630000","5847.41",null,null,"1","1","0"
"1-102-2022-2654","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","31-01-2022","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","441","البرشاء جنوب الرابعة","Al Barsha South Fourth","بن غاطي روز","Binghatti Rose","2326","بن غاطي روز","Binghatti Rose","Jumeirah Village Circle","قرية جميرا الدائرية","","","","","","","غرفة","1 B/R","1","61.23","550000","8982.52",null,null,"1","1","0"
"1-11-2012-21137","11","1","مبايعات","Sales","بيع","Sell","06-11-2012","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","443","الثنيه الأولى","Al Thanyah First","ماديسون ريزدنسي","Madison Residency","54","ماديسون ريزيدنس","MADISON RESIDENCY","TECOM Site C","تيكوم سايت سي","برج العرب","Burj Al Arab","مدينة دبي للإنترنت","Dubai Internet City","مول الإمارات","Mall of the Emirates","استوديو","Studio","1","60.68","460000","7580.75",null,null,"1","1","0"
"1-11-2013-36113","11","1","مبايعات","Sales","بيع","Sell","14-11-2013","3","وحدة","Unit","23","محل","Shop","تجاري","Commercial","1","العقارات القائمة","Existing Properties","410","نخلة جميرا","Palm Jumeirah","غراندور ريسيدينس- ماوريا","GRANDUER RESIDENCES-MAURYA","92","جرانديور ريزيدنس","GRANDEUR RESIDENCES","Palm Jumeirah","نخلة جميرا","برج العرب","Burj Al Arab","مساكن شاطئ الجميرا","Jumeirah Beach Resdency","مارينا مول","Marina Mall","محل","Shop","1","41.50","952000","22939.76",null,null,"1","1","0"
"2-13-2014-8454","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","25-11-2014","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","415","البرشاء جنوب الاولى","Al Barshaa South First","","",null,"","","","","موتور سيتي","Motor City","محطة مترو بنك أبوظبي الأول","First Abu Dhabi Bank Metro Station","مول الإمارات","Mall of the Emirates","","","0","861.77","1345000","1560.74",null,null,"1","1","0"
"2-13-2015-4064","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","04-06-2015","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","410","نخلة جميرا","Palm Jumeirah","الشهلة","Al Shahla",null,"","","Palm Jumeirah","نخلة جميرا","برج العرب","Burj Al Arab","نخلة جميرا","Palm Jumeirah","مارينا مول","Marina Mall","غرفة","1 B/R","1","106.34","1209000","11369.19",null,null,"1","1","0"
"1-102-2017-13867","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","18-07-2017","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","482","حدائق الشيخ محمد بن راشد","Hadaeq Sheikh Mohammed Bin Rashid","T1 II  بارك هايتس","PARK HEIGHTS II T1","1887","II بارك هايتس ","PARK HEIGHTS II","DUBAI HILLS","دبي هيليز","برج العرب","Burj Al Arab","محطة مترو بنك أبوظبي الأول","First Abu Dhabi Bank Metro Station","مول الإمارات","Mall of the Emirates","غرفتين","2 B/R","1","100.96","1291888","12796.04",null,null,"1","1","0"
"1-102-2020-4104","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","27-02-2020","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","390","برج خليفة","Burj Khalifa","2 أبراج بيلفيو","Bellevue Towers-2","1580","بيلفيو تاورز","BELLEVUE TOWERS","Business Bay","الخليج التجاري","وسط مدينة دبي","Downtown Dubai","محطة مترو الخليج التجاري","Business Bay Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","79.61","1394000","17510.36",null,null,"1","1","0"
"1-41-2021-13434","41","1","مبايعات","Sales","بيع مبدئى","Delayed Sell","09-12-2021","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","447","الخيران الأولى","Al Khairan First","ذي كوف مبنى 2","THE COVE Building 2","1826","ذي كوف ","The Cove","The Lagoons","الخيران","مطار دبي الدولي","Dubai International Airport","محطة مترو الخور","Creek Metro Station","مول دبي","Dubai Mall","ثلاث غرف","3 B/R","1","175.66","4270888","24313.38",null,null,"1","1","0"
"1-102-2022-10566","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","21-04-2022","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","412","المركاض","Al Merkadh","شوبا كريك فيستاس ريزرف","Sobha Creek Vistas Reserve","2178","شوبا كريك فيستاس ريزرف","Sobha Creek vistas Reserve","","","وسط مدينة دبي","Downtown Dubai","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","49.43","939026","18997.09",null,null,"1","1","0"
"1-11-2023-5629","11","1","مبايعات","Sales","بيع","Sell","28-02-2023","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","352","الثنيه الرابعة","Al Thanayah Fourth","","",null,"","","Springs - 1","الينابيع - 1","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","ثلاث غرف","3 B/R","0","255.19","2333333","9143.51",null,null,"3","1","0"
"2-13-2008-1185","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","09-06-2008","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","314","الصفا الثانيه","Al Saffa Second","","",null,"","","","","برج العرب","Burj Al Arab","محطة مترو نور بنك","Noor Bank Metro Station","مول الإمارات","Mall of the Emirates","","","0","2422.17","4071000","1680.72",null,null,"7","1","0"
"2-13-1999-1121","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","12-07-1999","2","مبنى","Building",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","239","البراحه","Al Baraha","","",null,"","","","","مطار دبي الدولي","Dubai International Airport","محطة مترو صلاح الدين","Salah Al Din Metro Station","مول دبي","Dubai Mall","","","0","380.62","3197000","8399.45",null,null,"2","1","0"
"1-102-2011-1760","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","16-05-2011","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","458","مجمع دبي للاستثمار الاول","Dubai Investment Park First","BUILDING A","BUILDING A","342","البلايز","THE PALESIDES","Dubai Investment Park First","مجمع دبي للاستثمار الاول","موقع إكسبو 2020","Expo 2020 Site","محطة مترو الدانوب","DANUBE Metro Station","ابن بطوطة مول","Ibn-e-Battuta Mall","غرفة","1 B/R","0","95.09","739991","7782.00",null,null,"1","1","0"
"1-45-2019-142","45","1","مبايعات","Sales","بيع حق منفعة","Sell Development","25-03-2019","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","459","مجمع دبي للاستثمار الثاني","Dubai Investment Park Second","CENTURION RESIDENCE - TOWER 1","CENTURION RESIDENCE - TOWER 1","1626","سنتوريون ريزدينس","CENTURION RESIDENCE","Dubai Investment Park Second","مجمع دبي للاستثمار الثاني","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","","","","","غرفتين","2 B/R","1","152.48","750000","4918.68",null,null,"1","1","0"
